Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1989-10-13 00:00:00,555.0,-77.0,-1762.0,1519.0,-950.0,690.0,492.0,447.0,63.0,108.0
1989-10-31 00:00:00,960.0,100.0,-33.0,129.0,832.0,687.0,1061.0,783.0,-101.0,177.0
1989-11-15 00:00:00,-59.0,624.0,-177.0,-106.0,-732.0,455.0,-214.0,172.0,155.0,-231.0
1989-11-30 00:00:00,1003.0,-482.0,51.0,-201.0,1830.0,1329.0,1147.0,1179.0,-144.0,-176.0
1989-12-15 00:00:00,-1374.0,3.0,-1.0,0.0,-1345.0,-1401.0,-1342.0,-1402.0,-32.0,28.0
1989-12-29 00:00:00,-669.0,-526.0,1.0,4.0,-475.0,-914.0,-997.0,-909.0,328.0,240.0
1990-01-15 00:00:00,-630.0,80.0,1541.0,-1488.0,1081.0,-460.0,-327.0,-407.0,-303.0,-223.0
1990-01-31 00:00:00,-224.0,-99.0,960.0,-258.0,137.0,-883.0,-220.0,-181.0,-4.0,-43.0
1990-02-15 00:00:00,621.0,-25.0,967.0,-42.0,735.0,-240.0,668.0,685.0,-47.0,-64.0
1990-02-28 00:00:00,-869.0,2091.0,-2981.0,30.0,-3031.0,2113.0,-910.0,-838.0,41.0,-31.0
1990-03-15 00:00:00,-752.0,46.0,-107.0,16.0,-768.0,-841.0,-706.0,-932.0,-46.0,180.0
1990-03-30 00:00:00,-653.0,-1943.0,-234.0,-46.0,1327.0,-255.0,-662.0,-535.0,9.0,-118.0
1990-04-12 00:00:00,-163.0,-194.0,-137.0,0.0,-98.0,-95.0,-292.0,-232.0,129.0,69.0
1990-04-30 00:00:00,334.0,50.0,15.0,146.0,-48.0,-2.0,148.0,159.0,186.0,175.0
1990-05-15 00:00:00,637.0,-50.0,1984.0,-146.0,766.0,-1307.0,570.0,531.0,67.0,106.0
1990-06-15 00:00:00,418.0,50.0,559.0,0.0,754.0,32.0,804.0,591.0,-386.0,-173.0
1990-06-29 00:00:00,-978.0,985.0,-561.0,0.0,-2018.0,-229.0,-1033.0,-790.0,55.0,-188.0
1990-07-13 00:00:00,770.0,-421.0,938.0,0.0,1192.0,-178.0,771.0,760.0,-1.0,10.0
1990-07-31 00:00:00,-2412.0,-533.0,-2899.0,0.0,-1839.0,547.0,-2372.0,-2352.0,-40.0,-60.0
1990-08-15 00:00:00,937.0,222.0,1197.0,0.0,691.0,-382.0,913.0,815.0,24.0,122.0
1990-09-28 00:00:00,1899.0,2327.0,-1293.0,0.0,-820.0,2816.0,1507.0,1523.0,392.0,376.0
1990-10-15 00:00:00,-171.0,-220.0,119.0,0.0,-395.0,-1210.0,-615.0,-1091.0,444.0,920.0
1990-10-31 00:00:00,-1953.0,-2410.0,64.0,0.0,670.0,-1305.0,-1740.0,-1241.0,-213.0,-712.0
1990-12-14 00:00:00,-1047.0,147.0,-153.0,0.0,-527.0,-195.0,-380.0,-348.0,-667.0,-699.0
